"";"genes"
"Stk24";"Stk24"
"Dock9";"Dock9"
"1810041H14Rik";"1810041H14Rik"
"Ubac2";"Ubac2"
"Gpr18";"Gpr18"
"Gpr183";"Gpr183"
"A330035P11Rik";"A330035P11Rik"
"Tm9sf2";"Tm9sf2"
"Clybl";"Clybl"
"1700108J01Rik";"1700108J01Rik"
"Gm5089";"Gm5089"
"Pcca";"Pcca"
"Ggact";"Ggact"
"4930594M22Rik";"4930594M22Rik"
"Tmtc4";"Tmtc4"
"4930594M22Rik.1";"4930594M22Rik.1"
"Gm33906";"Gm33906"
"Nalcn";"Nalcn"
"Itgbl1";"Itgbl1"
"Fgf14";"Fgf14"
"Selenop";"Selenop"
"Ccdc152";"Ccdc152"
"Ghr";"Ghr"
"Fbxo4";"Fbxo4"
"AW549877";"AW549877"
"Gm2093";"Gm2093"
"BC037032";"BC037032"
"Oxct1";"Oxct1"
"Gm15632";"Gm15632"
"Plcxd3";"Plcxd3"
"C6";"C6"
"Card6";"Card6"
"Rpl37";"Rpl37"
"Prkaa1";"Prkaa1"
"Gm15938";"Gm15938"
"Ttc33";"Ttc33"
"Ptger4";"Ptger4"
"Dab2";"Dab2"
"Fyb";"Fyb"
"Gm2245";"Gm2245"
"Rictor";"Rictor"
"Lifr";"Lifr"
"Egflam";"Egflam"
"Gm49207";"Gm49207"
"Wdr70";"Wdr70"
"Nup155";"Nup155"
"Cplane1";"Cplane1"
"Nipbl";"Nipbl"
"Gm31282";"Gm31282"
"Gm49249";"Gm49249"
"Slc1a3";"Slc1a3"
"Ranbp3l";"Ranbp3l"
"Nadk2";"Nadk2"
"Skp2";"Skp2"
"Lmbrd2";"Lmbrd2"
"Capsl";"Capsl"
"Il7r";"Il7r"
"Spef2";"Spef2"
"Prlr";"Prlr"
"Dnajc21";"Dnajc21"
"Brix1";"Brix1"
"Rad1";"Rad1"
"Ttc23l";"Ttc23l"
"Rai14";"Rai14"
"Gm10389";"Gm10389"
"4930556M19Rik";"4930556M19Rik"
"Gm19276";"Gm19276"
"C1qtnf3";"C1qtnf3"
"Amacr";"Amacr"
"Tars";"Tars"
"Sub1";"Sub1"
"Zfr";"Zfr"
"Mtmr12";"Mtmr12"
"Golph3";"Golph3"
"Pdzd2";"Pdzd2"
"6030458C11Rik";"6030458C11Rik"
"Drosha";"Drosha"
"Cdh6";"Cdh6"
"4921515E04Rik";"4921515E04Rik"
"Cdh10";"Cdh10"
"Gm49166";"Gm49166"
"Cdh12";"Cdh12"
"Cdh18";"Cdh18"
"Gm49729";"Gm49729"
"Gm35769";"Gm35769"
"Gm35996";"Gm35996"
"9230109A22Rik";"9230109A22Rik"
"4930445E18Rik";"4930445E18Rik"
"Basp1";"Basp1"
"Gm5468";"Gm5468"
"Gm48956";"Gm48956"
"Gm48957";"Gm48957"
"Myo10";"Myo10"
"Retreg1";"Retreg1"
"Zfp622";"Zfp622"
"March11";"March11"
"Fbxl7";"Fbxl7"
"Gm49267";"Gm49267"
"Gm36899";"Gm36899"
"Ank";"Ank"
"Otulin";"Otulin"
"Otulinl";"Otulinl"
"Trio";"Trio"
"Ctnnd2";"Ctnnd2"
"4930570B17Rik";"4930570B17Rik"
"Dap";"Dap"
"Ankrd33b";"Ankrd33b"
"Ropn1l";"Ropn1l"
"Gm49208";"Gm49208"
"March6";"March6"
"Gm49216";"Gm49216"
"Cmbl";"Cmbl"
"Cct5";"Cct5"
"Atpsckmt";"Atpsckmt"
"Snhg18";"Snhg18"
"Gm32618";"Gm32618"
"Sdc2";"Sdc2"
"Cpq";"Cpq"
"4930592A05Rik";"4930592A05Rik"
"Mtdh";"Mtdh"
"Laptm4b";"Laptm4b"
"Matn2";"Matn2"
"9430069I07Rik";"9430069I07Rik"
"Rpl30";"Rpl30"
"Erich5";"Erich5"
"Rida";"Rida"
"Pop1";"Pop1"
"Stk3";"Stk3"
"Gm48960";"Gm48960"
"Vps13b";"Vps13b"
"Cox6c";"Cox6c"
"Polr2k";"Polr2k"
"Spag1";"Spag1"
"Rnf19a";"Rnf19a"
"Ankrd46";"Ankrd46"
"Snx31";"Snx31"
"Pabpc1";"Pabpc1"
"Gm46515";"Gm46515"
"Gm10385";"Gm10385"
"Ywhaz";"Ywhaz"
"Gm10384";"Gm10384"
"Gm34590";"Gm34590"
"Zfp706";"Zfp706"
"Gm26766";"Gm26766"
"Ncald";"Ncald"
"Rrm2b";"Rrm2b"
"Gm49085";"Gm49085"
"Ubr5";"Ubr5"
"Gm49312";"Gm49312"
"Gm35167";"Gm35167"
"Gm49313";"Gm49313"
"Klf10";"Klf10"
"Gm35248";"Gm35248"
"Gm41307";"Gm41307"
"Azin1";"Azin1"
"Gm49077";"Gm49077"
"2310043O21Rik";"2310043O21Rik"
"1100001I12Rik";"1100001I12Rik"
"Atp6v1c1";"Atp6v1c1"
"Fzd6";"Fzd6"
"Slc25a32";"Slc25a32"
"Dcaf13";"Dcaf13"
"Rims2";"Rims2"
"Dcstamp";"Dcstamp"
"Dpys";"Dpys"
"Gm16291";"Gm16291"
"Lrp12";"Lrp12"
"AU022793";"AU022793"
"Gm33251";"Gm33251"
"Zfpm2";"Zfpm2"
"Oxr1";"Oxr1"
"Gm26854";"Gm26854"
"Angpt1";"Angpt1"
"Rspo2";"Rspo2"
"Eif3e";"Eif3e"
"Gm10373";"Gm10373"
"Emc2";"Emc2"
"Nudcd1";"Nudcd1"
"Eny2";"Eny2"
"Pkhd1l1";"Pkhd1l1"
"Ebag9";"Ebag9"
"Sybu";"Sybu"
"1700022A22Rik";"1700022A22Rik"
"Csmd3";"Csmd3"
"Trps1";"Trps1"
"Eif3h";"Eif3h"
"Utp23";"Utp23"
"Gm34678";"Gm34678"
"Rad21";"Rad21"
"Aard";"Aard"
"Med30";"Med30"
"Ext1";"Ext1"
"Samd12";"Samd12"
"Tnfrsf11b";"Tnfrsf11b"
"Enpp2";"Enpp2"
"Taf2";"Taf2"
"Dscc1";"Dscc1"
"Gm41325";"Gm41325"
"Gm9920";"Gm9920"
"Deptor";"Deptor"
"Col14a1";"Col14a1"
"Mrpl13";"Mrpl13"
"Mtbp";"Mtbp"
"Sntb1";"Sntb1"
"Has2os";"Has2os"
"Gm2582";"Gm2582"
"Slc22a22";"Slc22a22"
"Zhx2";"Zhx2"
"Derl1";"Derl1"
"Tbc1d31";"Tbc1d31"
"9130401M01Rik";"9130401M01Rik"
"Gm29394";"Gm29394"
"Zhx1";"Zhx1"
"Atad2";"Atad2"
"Wdyhv1";"Wdyhv1"
"Fbxo32";"Fbxo32"
"Gm15943";"Gm15943"
"Klhl38";"Klhl38"
"Anxa13";"Anxa13"
"Fam91a1";"Fam91a1"
"Fer1l6";"Fer1l6"
"Gm20712";"Gm20712"
"Tmem65";"Tmem65"
"Trmt12";"Trmt12"
"Rnf139";"Rnf139"
"Tatdn1";"Tatdn1"
"Ndufb9";"Ndufb9"
"Mtss1";"Mtss1"
"4930544F09Rik";"4930544F09Rik"
"Sqle";"Sqle"
"Washc5";"Washc5"
"Nsmce2";"Nsmce2"
"Gm36677";"Gm36677"
"Trib1";"Trib1"
"Gm19510";"Gm19510"
"Lratd2";"Lratd2"
"9930014A18Rik";"9930014A18Rik"
"Gm49497";"Gm49497"
"D030024E09Rik";"D030024E09Rik"
"Myc";"Myc"
"Pvt1";"Pvt1"
"Gm41333";"Gm41333"
"Gm30159";"Gm30159"
"Gm41335";"Gm41335"
"Gsdmc4";"Gsdmc4"
"Fam49b";"Fam49b"
"Asap1";"Asap1"
"Gm20717";"Gm20717"
"1700010G06Rik";"1700010G06Rik"
"Adcy8";"Adcy8"
"Gm21798";"Gm21798"
"Gm21961";"Gm21961"
"Efr3a";"Efr3a"
"Hhla1";"Hhla1"
"Kcnq3";"Kcnq3"
"Gm27153";"Gm27153"
"Tmem71";"Tmem71"
"Phf20l1";"Phf20l1"
"Tg";"Tg"
"Sla";"Sla"
"Ndrg1";"Ndrg1"
"St3gal1";"St3gal1"
"1700012I11Rik";"1700012I11Rik"
"Zfat";"Zfat"
"Gm26621";"Gm26621"
"Gm20732";"Gm20732"
"Gm7125";"Gm7125"
"Khdrbs3";"Khdrbs3"
"Gm49422";"Gm49422"
"Fam135b";"Fam135b"
"Kcnk9";"Kcnk9"
"Gm49460";"Gm49460"
"Trappc9";"Trappc9"
"Peg13";"Peg13"
"Chrac1";"Chrac1"
"Ago2";"Ago2"
"Ptk2";"Ptk2"
"1700085D07Rik";"1700085D07Rik"
"Gm49066";"Gm49066"
"Dennd3";"Dennd3"
"Slc45a4";"Slc45a4"
"Ptp4a3";"Ptp4a3"
"Mroh5";"Mroh5"
"Jrk";"Jrk"
"Them6";"Them6"
"Lynx1";"Lynx1"
"Ly6k";"Ly6k"
"Ly6m";"Ly6m"
"Gm39556";"Gm39556"
"Ly6e";"Ly6e"
"Ly6i";"Ly6i"
"Ly6a";"Ly6a"
"Gm28068";"Gm28068"
"Ly6c1";"Ly6c1"
"Zfp41";"Zfp41"
"Top1mt";"Top1mt"
"Gm15945";"Gm15945"
"Rhpn1";"Rhpn1"
"Mafa";"Mafa"
"Zc3h3";"Zc3h3"
"Gsdmd";"Gsdmd"
"Mroh6";"Mroh6"
"Naprt";"Naprt"
"Eef1d";"Eef1d"
"Tigd5";"Tigd5"
"Pycrl";"Pycrl"
"Tsta3";"Tsta3"
"Zfp623";"Zfp623"
"Zfp707";"Zfp707"
"Ccdc166";"Ccdc166"
"Fam83h";"Fam83h"
"Iqank1";"Iqank1"
"Scrib";"Scrib"
"Puf60";"Puf60"
"Gm48952";"Gm48952"
"Nrbp2";"Nrbp2"
"Plec";"Plec"
"Parp10";"Parp10"
"Grina";"Grina"
"Spatc1";"Spatc1"
"Smpd5";"Smpd5"
"Oplah";"Oplah"
"Exosc4";"Exosc4"
"Gpaa1";"Gpaa1"
"Cyc1";"Cyc1"
"Sharpin";"Sharpin"
"Maf1";"Maf1"
"Gm35339";"Gm35339"
"Hgh1";"Hgh1"
"Mroh1";"Mroh1"
"Bop1";"Bop1"
"Scx";"Scx"
"Hsf1";"Hsf1"
"Dgat1";"Dgat1"
"Fbxl6";"Fbxl6"
"Slc52a2";"Slc52a2"
"Adck5";"Adck5"
"Cpsf1";"Cpsf1"
"Slc39a4";"Slc39a4"
"Vps28";"Vps28"
"Tonsl";"Tonsl"
"Cyhr1";"Cyhr1"
"Kifc2";"Kifc2"
"Ppp1r16a";"Ppp1r16a"
"Gpt";"Gpt"
"Mfsd3";"Mfsd3"
"Recql4";"Recql4"
"Lrrc14";"Lrrc14"
"Lrrc24";"Lrrc24"
"C030006K11Rik";"C030006K11Rik"
"Arhgap39";"Arhgap39"
"Zfp251";"Zfp251"
"Zfp7";"Zfp7"
"Gm49527";"Gm49527"
"Commd5";"Commd5"
"Rpl8";"Rpl8"
"Zfp647";"Zfp647"
"1110038F14Rik";"1110038F14Rik"
"Gm35933";"Gm35933"
"Rbfox2";"Rbfox2"
"1700109K24Rik";"1700109K24Rik"
"Apol7b";"Apol7b"
"Myh9";"Myh9"
"Txn2";"Txn2"
"Foxred2";"Foxred2"
"Eif3d";"Eif3d"
"Gm17638";"Gm17638"
"Ift27";"Ift27"
"Gm49694";"Gm49694"
"Ncf4";"Ncf4"
"Csf2rb2";"Csf2rb2"
"Csf2rb";"Csf2rb"
"Tst";"Tst"
"Mpst";"Mpst"
"Kctd17";"Kctd17"
"Rac2";"Rac2"
"Gm36738";"Gm36738"
"Cyth4";"Cyth4"
"Mfng";"Mfng"
"Card10";"Card10"
"Cdc42ep1";"Cdc42ep1"
"Lgals2";"Lgals2"
"Gm26634";"Gm26634"
"Gga1";"Gga1"
"Sh3bp1";"Sh3bp1"
"1700027A07Rik";"1700027A07Rik"
"Pdxp";"Pdxp"
"Lgals1";"Lgals1"
"Nol12";"Nol12"
"Triobp";"Triobp"
"Gm10865";"Gm10865"
"Gm17753";"Gm17753"
"Gm49544";"Gm49544"
"H1f0";"H1f0"
"Gcat";"Gcat"
"Ankrd54";"Ankrd54"
"Eif3l";"Eif3l"
"Micall1";"Micall1"
"1700088E04Rik";"1700088E04Rik"
"Polr2f";"Polr2f"
"Sox10";"Sox10"
"Gm10863";"Gm10863"
"Pick1";"Pick1"
"Slc16a8";"Slc16a8"
"Baiap2l2";"Baiap2l2"
"Pla2g6";"Pla2g6"
"Maff";"Maff"
"Tmem184b";"Tmem184b"
"Csnk1e";"Csnk1e"
"Gm16059";"Gm16059"
"Kdelr3";"Kdelr3"
"Ddx17";"Ddx17"
"Dmc1";"Dmc1"
"Fam227a";"Fam227a"
"Cby1";"Cby1"
"Tomm22";"Tomm22"
"Josd1";"Josd1"
"Gtpbp1";"Gtpbp1"
"Sun2";"Sun2"
"Gm16575";"Gm16575"
"Gm16576";"Gm16576"
"Dnal4";"Dnal4"
"Nptxr";"Nptxr"
"Cbx6";"Cbx6"
"Gm10856";"Gm10856"
"AC113595.1";"AC113595.1"
"Apobec3";"Apobec3"
"Cbx7";"Cbx7"
"Pdgfb";"Pdgfb"
"Gm41361";"Gm41361"
"Rpl3";"Rpl3"
"Syngr1";"Syngr1"
"Tab1";"Tab1"
"Mgat3";"Mgat3"
"Mief1";"Mief1"
"Atf4";"Atf4"
"Rps19bp1";"Rps19bp1"
"Enthd1";"Enthd1"
"Grap2";"Grap2"
"Tnrc6b";"Tnrc6b"
"Gm49512";"Gm49512"
"Adsl";"Adsl"
"Sgsm3";"Sgsm3"
"Gm31462";"Gm31462"
"Mrtfa";"Mrtfa"
"8430426J06Rik";"8430426J06Rik"
"Slc25a17";"Slc25a17"
"St13";"St13"
"Xpnpep3";"Xpnpep3"
"Dnajb7";"Dnajb7"
"Gm17025";"Gm17025"
"Rbx1";"Rbx1"
"Ep300";"Ep300"
"L3mbtl2";"L3mbtl2"
"Chadl";"Chadl"
"Rangap1";"Rangap1"
"Zc3h7b";"Zc3h7b"
"Gm17597";"Gm17597"
"Tef";"Tef"
"Tob2";"Tob2"
"Phf5a";"Phf5a"
"Aco2";"Aco2"
"Polr3h";"Polr3h"
"Pmm1";"Pmm1"
"Xrcc6";"Xrcc6"
"Desi1";"Desi1"
"Snu13";"Snu13"
"Ccdc134";"Ccdc134"
"Srebf2";"Srebf2"
"Cenpm";"Cenpm"
"Naga";"Naga"
"Pheta2";"Pheta2"
"Smdt1";"Smdt1"
"Ndufa6";"Ndufa6"
"Cyp2d22";"Cyp2d22"
"Gm49431";"Gm49431"
"Tcf20";"Tcf20"
"Gm20324";"Gm20324"
"Nfam1";"Nfam1"
"Serhl";"Serhl"
"Gm17206";"Gm17206"
"Rrp7a";"Rrp7a"
"Poldip3";"Poldip3"
"Cyb5r3";"Cyb5r3"
"Gm49463";"Gm49463"
"A4galt";"A4galt"
"Arfgap3";"Arfgap3"
"1700001L05Rik";"1700001L05Rik"
"Pacsin2";"Pacsin2"
"Ttll1";"Ttll1"
"Bik";"Bik"
"Mcat";"Mcat"
"Tspo";"Tspo"
"Ttll12";"Ttll12"
"Scube1";"Scube1"
"Mpped1";"Mpped1"
"Efcab6";"Efcab6"
"Sult4a1";"Sult4a1"
"Pnpla3";"Pnpla3"
"Samm50";"Samm50"
"Parvb";"Parvb"
"Parvg";"Parvg"
"Rtl6";"Rtl6"
"Prr5";"Prr5"
"Phf21b";"Phf21b"
"Gm29666";"Gm29666"
"Nup50";"Nup50"
"5031439G07Rik";"5031439G07Rik"
"Fam118a";"Fam118a"
"Smc1b";"Smc1b"
"Ribc2";"Ribc2"
"Fbln1";"Fbln1"
"Atxn10";"Atxn10"
"Gm49539";"Gm49539"
"Lncppara";"Lncppara"
"Ppara";"Ppara"
"Cdpf1";"Cdpf1"
"Ttc38";"Ttc38"
"Gtse1";"Gtse1"
"Gm49548";"Gm49548"
"Trmu";"Trmu"
"Gramd4";"Gramd4"
"Gm15722";"Gm15722"
"Cerk";"Cerk"
"Gm15569";"Gm15569"
"Tbc1d22a";"Tbc1d22a"
"A930001M01Rik";"A930001M01Rik"
"Gm49470";"Gm49470"
"Tafa5";"Tafa5"
"Brd1";"Brd1"
"Zbed4";"Zbed4"
"Alg12";"Alg12"
"Creld2";"Creld2"
"Pim3";"Pim3"
"Mlc1";"Mlc1"
"1810021B22Rik";"1810021B22Rik"
"Trabd";"Trabd"
"Selenoo";"Selenoo"
"Tubgcp6";"Tubgcp6"
"Hdac10";"Hdac10"
"Mapk12";"Mapk12"
"Mapk11";"Mapk11"
"Plxnb2";"Plxnb2"
"Dennd6b";"Dennd6b"
"Ppp6r2";"Ppp6r2"
"Sbf1";"Sbf1"
"Lmf2";"Lmf2"
"Ncaph2";"Ncaph2"
"Sco2";"Sco2"
"Cpt1b";"Cpt1b"
"Chkb";"Chkb"
"C730034F03Rik";"C730034F03Rik"
"Arsa";"Arsa"
"C230037L18Rik";"C230037L18Rik"
"Rabl2";"Rabl2"
"Alg10b";"Alg10b"
"Cpne8";"Cpne8"
"Kif21a";"Kif21a"
"Abcd2";"Abcd2"
"CN725425";"CN725425"
"Slc2a13";"Slc2a13"
"Lrrk2";"Lrrk2"
"Cntn1";"Cntn1"
"Gm26760";"Gm26760"
"Pdzrn4";"Pdzrn4"
"Gxylt1";"Gxylt1"
"Yaf2";"Yaf2"
"Zcrb1";"Zcrb1"
"Pphln1";"Pphln1"
"Prickle1";"Prickle1"
"Gm41386";"Gm41386"
"Pus7l";"Pus7l"
"Irak4";"Irak4"
"Twf1";"Twf1"
"Tmem117";"Tmem117"
"Nell2";"Nell2"
"Dbx2";"Dbx2"
"Gm49169";"Gm49169"
"A130051J06Rik";"A130051J06Rik"
"Ano6";"Ano6"
"Gm49173";"Gm49173"
"Gm17546";"Gm17546"
"Gm49172";"Gm49172"
"2610037D02Rik";"2610037D02Rik"
"Arid2";"Arid2"
"Scaf11";"Scaf11"
"Slc38a1";"Slc38a1"
"Slc38a2";"Slc38a2"
"Gm32885";"Gm32885"
"Amigo2";"Amigo2"
"Pced1b";"Pced1b"
"Rpap3";"Rpap3"
"Rapgef3";"Rapgef3"
"Slc48a1";"Slc48a1"
"Hdac7";"Hdac7"
"Tmem106c";"Tmem106c"
"Senp1";"Senp1"
"Pfkm";"Pfkm"
"Gm26513";"Gm26513"
"Asb8";"Asb8"
"Zfp641";"Zfp641"
"OR5BS1P";"OR5BS1P"
"Olfr279";"Olfr279"
"Kansl2";"Kansl2"
"Ccnt1";"Ccnt1"
"9330020H09Rik";"9330020H09Rik"
"4930415O20Rik";"4930415O20Rik"
"Adcy6";"Adcy6"
"Ddx23";"Ddx23"
"Rnd1";"Rnd1"
"Fkbp11";"Fkbp11"
"Arf3";"Arf3"
"B130046B21Rik";"B130046B21Rik"
"Prkag1";"Prkag1"
"Kmt2d";"Kmt2d"
"5730414N17Rik";"5730414N17Rik"
"Rhebl1";"Rhebl1"
"Lmbr1l";"Lmbr1l"
"Tuba1b";"Tuba1b"
"Gm41396";"Gm41396"
"Tuba1a";"Tuba1a"
"4930578M01Rik";"4930578M01Rik"
"Tuba1c";"Tuba1c"
"Gm34284";"Gm34284"
"Troap";"Troap"
"Spats2";"Spats2"
"Mcrs1";"Mcrs1"
"1700120C14Rik";"1700120C14Rik"
"Fam186b";"Fam186b"
"Prpf40b";"Prpf40b"
"Fmnl3";"Fmnl3"
"Tmbim6";"Tmbim6"
"Nckap5l";"Nckap5l"
"Nckap5los";"Nckap5los"
"Gm49484";"Gm49484"
"Bcdin3d";"Bcdin3d"
"Faim2";"Faim2"
"Racgap1";"Racgap1"
"Smarcd1";"Smarcd1"
"Gm17349";"Gm17349"
"Gm16537";"Gm16537"
"Gpd1";"Gpd1"
"Cox14";"Cox14"
"Cers5";"Cers5"
"Gm17058";"Gm17058"
"Lima1";"Lima1"
"Gm17057";"Gm17057"
"Gm49494";"Gm49494"
"Fam186a";"Fam186a"
"Larp4";"Larp4"
"2310068J16Rik";"2310068J16Rik"
"Dip2b";"Dip2b"
"4930478M13Rik";"4930478M13Rik"
"Gm49475";"Gm49475"
"Atf1";"Atf1"
"Mettl7a1";"Mettl7a1"
"Mettl7a3";"Mettl7a3"
"Slc11a2";"Slc11a2"
"5330439K02Rik";"5330439K02Rik"
"Letmd1";"Letmd1"
"Csrnp2";"Csrnp2"
"Tfcp2";"Tfcp2"
"Pou6f1";"Pou6f1"
"Gm27209";"Gm27209"
"Gm49492";"Gm49492"
"1110013H19Rik";"1110013H19Rik"
"C330013E15Rik";"C330013E15Rik"
"Dazap2";"Dazap2"
"Smagp";"Smagp"
"Bin2";"Bin2"
"Cela1";"Cela1"
"Galnt6";"Galnt6"
"I730030J21Rik";"I730030J21Rik"
"Slc4a8";"Slc4a8"
"Scn8a";"Scn8a"
"Fignl2";"Fignl2"
"Acvrl1";"Acvrl1"
"Gm16031";"Gm16031"
"Acvr1b";"Acvr1b"
"A330009N23Rik";"A330009N23Rik"
"Grasp";"Grasp"
"Nr4a1";"Nr4a1"
"Atg101";"Atg101"
"Gm35853";"Gm35853"
"Krt80";"Krt80"
"Gm671";"Gm671"
"Krt7";"Krt7"
"Krt83";"Krt83"
"Krt18";"Krt18"
"Eif4b";"Eif4b"
"Tns2";"Tns2"
"Spryd3";"Spryd3"
"Igfbp6";"Igfbp6"
"Soat2";"Soat2"
"Csad";"Csad"
"Zfp740";"Zfp740"
"Itgb7";"Itgb7"
"Rarg";"Rarg"
"Mfsd5";"Mfsd5"
"Gm49479";"Gm49479"
"Espl1";"Espl1"
"Pfdn5";"Pfdn5"
"Myg1";"Myg1"
"Aaas";"Aaas"
"Sp1";"Sp1"
"Amhr2";"Amhr2"
"Prr13";"Prr13"
"Pcbp2";"Pcbp2"
"Map3k12";"Map3k12"
"Tarbp2";"Tarbp2"
"Npff";"Npff"
"Atf7";"Atf7"
"Atp5g2";"Atp5g2"
"Calcoco1";"Calcoco1"
"D930007P13Rik";"D930007P13Rik"
"Smug1";"Smug1"
"Cbx5";"Cbx5"
"Hnrnpa1";"Hnrnpa1"
"Nfe2";"Nfe2"
"Copz1";"Copz1"
"Gm49482";"Gm49482"
"Gpr84";"Gpr84"
"Zfp385a";"Zfp385a"
"Itga5";"Itga5"
"Gtsf1";"Gtsf1"
"Gtsf2";"Gtsf2"
"Nckap1l";"Nckap1l"
"Pde1b";"Pde1b"
"Ppp1r1a";"Ppp1r1a"
"Gm49507";"Gm49507"
"Gm35974";"Gm35974"
"Mefv";"Mefv"
"Zfp263";"Zfp263"
"Gm41409";"Gm41409"
"Zfp174";"Zfp174"
"Zfp597";"Zfp597"
"Naa60";"Naa60"
"1700037C18Rik";"1700037C18Rik"
"Cluap1";"Cluap1"
"Gm15537";"Gm15537"
"Nlrc3";"Nlrc3"
"Slx4";"Slx4"
"Gm15879";"Gm15879"
"Trap1";"Trap1"
"Crebbp";"Crebbp"
"Adcy9";"Adcy9"
"Srl";"Srl"
"Tfap4";"Tfap4"
"Glis2";"Glis2"
"Pam16";"Pam16"
"Coro7";"Coro7"
"Vasn";"Vasn"
"Dnaja3";"Dnaja3"
"Nmral1";"Nmral1"
"Hmox2";"Hmox2"
"Gm15859";"Gm15859"
"Cdip1";"Cdip1"
"Gm15835";"Gm15835"
"4930562C15Rik";"4930562C15Rik"
"Ubald1";"Ubald1"
"Mgrn1";"Mgrn1"
"Gm16861";"Gm16861"
"Nudt16l1";"Nudt16l1"
"Anks3";"Anks3"
"Smim22";"Smim22"
"Gm42477";"Gm42477"
"Rogdi";"Rogdi"
"Glyr1";"Glyr1"
"Ubn1";"Ubn1"
"Ppl";"Ppl"
"Sec14l5";"Sec14l5"
"Nagpa";"Nagpa"
"AU021092";"AU021092"
"Alg1";"Alg1"
"Eef2kmt";"Eef2kmt"
"Gm15983";"Gm15983"
"Gm41414";"Gm41414"
"Rbfox1";"Rbfox1"
"Mettl22";"Mettl22"
"Abat";"Abat"
"Tmem186";"Tmem186"
"Pmm2";"Pmm2"
"Carhsp1";"Carhsp1"
"Usp7";"Usp7"
"1810013L24Rik";"1810013L24Rik"
"Grin2a";"Grin2a"
"Rpl39l";"Rpl39l"
"Atf7ip2";"Atf7ip2"
"Emp2";"Emp2"
"Tekt5";"Tekt5"
"Nubp1";"Nubp1"
"Tvp23a";"Tvp23a"
"Ciita";"Ciita"
"Dexi";"Dexi"
"Clec16a";"Clec16a"
"Gm15558";"Gm15558"
"Socs1";"Socs1"
"Prm1";"Prm1"
"Gm46563";"Gm46563"
"Gm26822";"Gm26822"
"Rmi2";"Rmi2"
"Gm21859";"Gm21859"
"Litaf";"Litaf"
"Snn";"Snn"
"Txndc11";"Txndc11"
"Zc3h7a";"Zc3h7a"
"4930509G22Rik";"4930509G22Rik"
"Rsl1d1";"Rsl1d1"
"2610020C07Rik";"2610020C07Rik"
"Gspt1";"Gspt1"
"Tnfrsf17";"Tnfrsf17"
"Snx29";"Snx29"
"Gm4279";"Gm4279"
"Cpped1";"Cpped1"
"Gm9961";"Gm9961"
"Ercc4";"Ercc4"
"Mrtfb";"Mrtfb"
"Gm15738";"Gm15738"
"Parn";"Parn"
"Bfar";"Bfar"
"3110001I22Rik";"3110001I22Rik"
"Rrn3";"Rrn3"
"Ntan1";"Ntan1"
"Pdxdc1";"Pdxdc1"
"Mpv17l";"Mpv17l"
"Ifitm7";"Ifitm7"
"Bmerb1";"Bmerb1"
"Marf1";"Marf1"
"Nde1";"Nde1"
"Myh11";"Myh11"
"Fopnl";"Fopnl"
"Gm15868";"Gm15868"
"Abcc1";"Abcc1"
"Gm21897";"Gm21897"
"Ube2v2";"Ube2v2"
"Mcm4";"Mcm4"
"Prkdc";"Prkdc"
"Mzt2";"Mzt2"
"Cebpd";"Cebpd"
"Spidr";"Spidr"
"Pkp2";"Pkp2"
"Yars2";"Yars2"
"Dnm1l";"Dnm1l"
"Gm49521";"Gm49521"
"Fgd4";"Fgd4"
"Spag6l";"Spag6l"
"Vpreb1";"Vpreb1"
"Top3b";"Top3b"
"Ppm1f";"Ppm1f"
"Gm49595";"Gm49595"
"Mapk1";"Mapk1"
"1700056N10Rik";"1700056N10Rik"
"Ypel1";"Ypel1"
"Ppil2";"Ppil2"
"Gm49584";"Gm49584"
"2610318N02Rik";"2610318N02Rik"
"Sdf2l1";"Sdf2l1"
"Ccdc116";"Ccdc116"
"Ydjc";"Ydjc"
"Ube2l3";"Ube2l3"
"Rimbp3";"Rimbp3"
"Hic2";"Hic2"
"Tmem191c";"Tmem191c"
"Pi4ka";"Pi4ka"
"Serpind1";"Serpind1"
"Snap29";"Snap29"
"Crkl";"Crkl"
"Aifm3";"Aifm3"
"Lztr1";"Lztr1"
"Thap7";"Thap7"
"Gm49785";"Gm49785"
"P2rx6";"P2rx6"
"Slc7a4";"Slc7a4"
"Smpd4";"Smpd4"
"Med15";"Med15"
"Klhl22";"Klhl22"
"Scarf2";"Scarf2"
"Car15";"Car15"
"Dgcr2";"Dgcr2"
"Ess2";"Ess2"
"Slc25a1";"Slc25a1"
"Dgcr6";"Dgcr6"
"Prodh";"Prodh"
"4933432I09Rik";"4933432I09Rik"
"Zdhhc8";"Zdhhc8"
"Ranbp1";"Ranbp1"
"Trmt2a";"Trmt2a"
"Dgcr8";"Dgcr8"
"Tango2";"Tango2"
"Arvcf";"Arvcf"
"Comt";"Comt"
"Gm15764";"Gm15764"
"Txnrd2";"Txnrd2"
"Gnb1l";"Gnb1l"
"Rtl10";"Rtl10"
"Sept5";"Sept5"
"Cldn5";"Cldn5"
"Cdc45";"Cdc45"
"Ufd1";"Ufd1"
"2510002D24Rik";"2510002D24Rik"
"Mrpl40";"Mrpl40"
"Hira";"Hira"
"Klhl6";"Klhl6"
"Klhl24";"Klhl24"
"Yeats2";"Yeats2"
"Parl";"Parl"
"Cyp2ab1";"Cyp2ab1"
"Abcc5";"Abcc5"
"Eif2b5";"Eif2b5"
"Gm16618";"Gm16618"
